university,year,数据3,数据1,数据1-子项目1,数据1-子项目2,数据1-子项目3,数据1-子项目4,数据1-子项目5,数据2,数据2-子项目a,数据2-子项目b,数据2-子项目c,数据2-子项目d,数据2-子项目e,数据2-子项目f
北京大学,2015,15.372,639.77,76.2,59.12,87.71,265.53,151.21,649.98,167.09,125.27,21.43,68.1,212.73,55.36
北京化工大学,2015,11.744,282.55,10.97,114.08,47.62,89.09,20.78,390.65,74.65,74.37,47.5,84.28,69.92,39.93
北京交通大学,2015,13.299,228.19,97.94,29.1,13.27,71.02,16.86,260.6,80.38,60.86,40.36,23.57,41.81,13.63
北京科技大学,2015,12.79,379.67,65.25,92.14,94.2,111.85,16.24,473.16,115.88,61.49,25.17,72.94,129.91,67.77
北京林业大学,2015,13.217,335.11,30.99,53.57,54.72,114.24,81.59,331.55,38.33,56.25,74.06,28.5,81.55,52.86
北京师范大学,2015,19.361,359.16,76.44,86.54,29.31,95.48,71.39,366.62,61.07,93.33,93.25,6.39,70.81,41.77
北京外国语大学,2015,15.38,304.46,51.17,61.94,45.12,105.99,40.25,249.3,31.09,30.56,41.65,17.69,91.13,37.18
北京邮电大学,2015,12.51,450.89,95.68,98.08,79.24,122.71,55.19,421.52,84.24,101.11,79.7,72.74,49,34.73
北京语言大学,2015,13.509,336.65,26.44,87.55,87.56,65.93,69.17,207.39,19.85,48.97,20.8,20.17,47.94,49.65
北京中医药大学,2015,13.699,119.93,16.71,7.1,48.4,39.34,8.38,342.41,88.08,66.69,46.63,16.11,92.75,32.15
大连理工大学,2015,10.263,381.37,68.8,63.8,3.45,170.76,74.56,431.65,134.02,27.97,68.58,64.75,83.64,52.68
电子科技大学,2015,13.406,459.38,94.25,92.02,42.55,145.16,85.41,483.52,142.17,63.09,53.02,89.3,67.49,68.46
东北大学,2015,8.396,376.21,61.61,63.26,51.71,147.46,52.16,339.12,122.81,75.22,8.97,2.18,48.72,81.21
东北林业大学,2015,8.117,282.42,93.69,2.34,59.9,51.31,75.18,428.58,76.5,44.91,54.58,79.49,101.25,71.85
东北师范大学,2015,11.205,363.23,93,59.92,76.53,124.24,9.53,497.45,61.25,109.3,57.39,67.4,103.83,98.28
东华大学,2015,15.184,266.36,24.76,76.09,77.25,39.31,48.95,257.46,60.43,51.62,9.18,47.95,35.24,53.04
东南大学,2015,14.958,320.14,62.3,73.79,51.66,100.7,31.68,520.32,126.14,53.51,85.45,97.31,150.39,7.51
对外经济贸易大学,2015,15.55,294.07,73.49,53.27,17.4,50.5,99.4,247.15,52.36,10.56,43.38,6.14,101.57,33.15
复旦大学,2015,17.143,469.09,39.79,86.61,75.84,197.93,68.93,528.3,174.79,74.92,85.84,23.27,103.87,65.62
合肥工业大学,2015,10.125,335,44.31,77.95,0.45,121.49,90.8,325.98,123.12,19.46,36.83,42.38,59.48,44.7
河海大学,2015,13.29,286.78,7.26,18.81,57.43,118.37,84.92,283.76,100.26,81.52,28.33,2.84,56.26,14.55
湖南大学,2015,9.584,262.2,15.83,69.88,1.91,95.31,79.27,251.81,63.87,9.43,31.75,39.71,43.99,63.06
华北电力大学,2015,13.378,256.51,8.62,35.74,88.43,99.99,23.73,361.64,65.3,23.81,97.22,97.16,46.63,31.52
华北电力大学(保定),2015,15.084,400.99,74.27,96.05,78.02,60.63,92.02,412.7,67.93,78.85,78.19,75.79,16.56,95.38
华东理工大学,2015,15.971,356.12,14.7,107.46,95.65,80.84,57.48,340.8,62.26,87.31,49.4,20.35,95.21,26.27
华东师范大学,2015,15.707,469.75,58.85,112.61,61.02,137.73,99.55,501.12,115.88,83.45,90.47,75.83,122.35,13.14
华南理工大学,2015,10.69,422,81.4,23.39,30.81,168.73,117.67,396.6,91.64,10.81,32.78,26.22,136.65,98.49
华中科技大学,2015,14.51,302.12,18.76,50.56,3.55,115.42,113.82,414.33,165.31,9.88,12.17,49.22,82.62,95.13
华中农业大学,2015,15.85,219.65,2.58,46.9,44.71,112.66,12.82,454.86,84.01,78.6,54.88,88.38,60.87,88.12
华中师范大学,2015,13.807,444.34,83.23,110.17,67.12,112.21,71.61,367.31,93.05,71.68,2.74,59.35,98.42,42.07
吉林大学,2015,10.956,312.92,13.83,33.32,6.74,161.19,97.83,484.96,156.2,24.38,91.94,77.57,80.14,54.72
江南大学,2015,10.891,334.89,32.64,80.17,55.1,69.33,97.64,410.13,49.45,102.33,66.83,89.9,94.18,7.45
兰州大学,2015,10.177,310.67,48.79,23.53,98.32,69.99,70.04,363.15,113.13,54.72,14.35,30.43,56.92,93.6
南京大学,2015,13.077,432.19,93.56,84.03,23.5,169.73,61.37,364.04,106.4,26.69,21.5,54.94,120.35,34.15
南京农业大学,2015,10.372,480.04,71.5,81.28,96.37,130.51,100.39,329.46,34.67,58.1,76.49,87.52,50.72,21.95
南开大学,2015,11.272,396.58,70.85,80.83,8.13,132.97,103.8,372.45,142.31,24.2,67.95,12.43,115.82,9.75
清华大学,2015,15.146,830.28,113.89,193.87,20.12,374.22,128.18,857.92,296.34,97.06,46.9,43.91,270.9,102.81
厦门大学,2015,16.575,531.32,79.32,83.73,99.08,180.1,89.08,468.33,152.38,36.15,76.23,22.11,111.32,70.13
山东大学,2015,11.573,482.68,78.93,70.83,64.97,195.46,72.49,421.04,133.34,80.76,65.3,28.84,87.65,25.15
陕西师范大学,2015,7.452,352.45,69.76,16.04,80.38,122.25,64.03,483.41,49.46,96.61,94.27,64.6,86.02,92.46
上海财经大学,2015,18.278,271.82,77.76,32.1,26.64,59.45,75.87,331.61,93.66,18.32,94.42,43.66,48.41,33.15
上海交通大学,2015,20.767,573.73,11.63,167.4,60.6,213.3,120.8,539.32,145.3,101.18,64,44.62,172.73,11.48
上海外国语大学,2015,16.805,301.11,62.03,47.45,83.09,72.53,36.01,391.4,102.25,8.29,95.88,13.76,69.21,102.02
四川大学,2015,16.033,331.49,84.84,45.89,46.6,82.78,71.38,393.51,72.81,80.04,0.56,76.25,148.26,15.59
天津大学,2015,11.057,490.94,90.51,91.94,62.74,146.18,99.56,397.24,162.19,15.77,8.29,71,91.44,48.56
同济大学,2015,13.019,445.91,80.31,78.06,0.75,186.75,100.03,345.57,97.74,85.48,23.26,21.32,79.09,38.68
武汉大学,2015,12.909,561.81,94.03,118.59,69.68,165.73,113.77,341.29,86.94,32.66,53.84,57.97,97.53,12.35
武汉理工大学,2015,14.813,301.7,70.32,63.59,23.06,97.87,46.87,349.7,87.18,101.94,21.12,70.23,46.87,22.36
西安电子科技大学,2015,12.058,368.37,74.9,1.99,72.11,138.47,80.91,386.38,64.4,81.45,32.4,11.78,108.09,88.26
西安交通大学,2015,13.618,355.1,77.77,21.91,32.15,120.59,102.69,362.39,133.56,45.86,30.83,53.65,77.52,20.98
西北农林科技大学,2015,14.701,331.05,94.31,43.31,43.66,124.74,25.02,382.57,73.79,23.1,83.57,31.45,88.46,82.21
西南财经大学,2015,16.845,190.48,48.66,32.31,13.06,70.88,25.57,381.05,55.33,31.88,85.82,58.05,96.46,53.52
西南大学,2015,12.986,335.65,43.06,102.37,59.93,60.82,69.47,289.4,53.95,95.75,4.75,26.23,53.13,55.59
西南交通大学,2015,15.925,281.68,44.32,48.07,43.68,102.19,43.42,368.4,87.93,18.57,13.57,89.1,114.75,44.48
长安大学,2015,10.125,271.76,80.33,3.93,19.56,82.37,85.57,343.73,122.17,33.1,67.09,33.83,69.81,17.73
浙江大学,2015,12.658,794.21,99.81,206,94.41,254.98,139.02,824.39,165.42,79.68,81.14,91.49,315.63,91.04
中国传媒大学,2015,13.586,308.64,29.82,82.05,99.41,73.58,23.77,370.22,95.29,41.3,9.72,93.62,89.8,40.49
中国地质大学(北京),2015,12.395,414.67,89.85,91.91,59.93,124.23,48.76,290.47,26.69,11.69,81.84,30.29,87.05,52.91
中国地质大学(武汉),2015,15.034,478.22,76.11,91.87,89.21,119.93,101.11,238.12,24.84,52.12,17.01,27.9,74.97,41.28
中国海洋大学,2015,12.576,335.18,58.73,83.92,22.13,98.67,71.72,439.01,84.06,79.15,36.07,65.2,120.61,53.92
中国矿业大学(北京),2015,10.48,396.5,54.03,102.65,94.52,86.23,59.07,298.9,42.64,96.06,24.45,77.03,43.59,15.12
中国矿业大学(徐州),2015,14.407,381.19,97.64,22.88,85.79,131.37,43.51,318.96,130.84,32.74,12.2,38.65,94.72,9.81
