university,year,数据3,数据1,数据1-子项目1,数据1-子项目2,数据1-子项目3,数据1-子项目4,数据1-子项目5,数据2,数据2-子项目a,数据2-子项目b,数据2-子项目c,数据2-子项目d,数据2-子项目e,数据2-子项目f
北京大学,2016,136.8,464.21,51.93,84.61,22.22,255.93,49.52,705.95,225.64,131.03,31.54,90.12,171.84,55.79
北京化工大学,2016,21.1,415.27,92.81,69.22,57.61,100.45,95.19,386.36,41.39,105.86,19.58,48.76,101.22,69.55
北京交通大学,2016,41.2,447.71,60.25,105.26,56.96,130.38,94.86,234.15,52.17,23.16,56.97,57.78,30.38,13.69
北京科技大学,2016,36.2,310.69,22.06,94.84,24.91,104.71,64.18,375.41,118.5,28.2,52.48,27.04,104.15,45.04
北京林业大学,2016,19.7,255.53,4.67,101.04,11.83,56.74,81.24,274.66,57.96,18.56,53.87,37.69,41.57,65.01
北京师范大学,2016,51.9,245.17,33.94,25.63,1.19,91.15,93.26,373.32,51.41,74.61,3.53,16.05,124.61,103.11
北京外国语大学,2016,18.9,296.11,82.47,56.71,70.63,37.55,48.75,238.07,38.48,15.71,51.85,66.97,29.19,35.88
北京邮电大学,2016,25.4,187.55,39.81,7.38,27.8,102.76,9.8,356.56,51.01,60.66,57.02,64.02,71.67,52.19
北京语言大学,2016,10.9,233.26,21.58,21.83,12.11,81.04,96.71,350.39,40.92,78.03,88.54,76.45,41.2,25.25
北京中医药大学,2016,11.8,255.54,38.08,49.42,67.38,78.61,22.04,312.76,90.33,14.69,0.63,25.84,94.07,87.2
大连理工大学,2016,67.5,298.24,6.63,76.17,82.92,84.29,48.22,421.62,117.39,61.86,35.49,59.48,50.41,96.99
电子科技大学,2016,53.9,346.16,80.19,92.75,5.68,62.24,105.3,432.07,108.64,51.77,41.11,66.28,124.56,39.71
东北大学,2016,52.6,347.6,50.97,87.91,74.42,90.69,43.6,510.17,129.21,110.4,62.32,80.98,87.65,39.61
东北林业大学,2016,23.6,340.8,53.44,23.56,95.65,125.63,42.53,222.5,26.13,31.1,22.98,11.04,69.03,62.21
东北师范大学,2016,35.9,299.85,19.99,57.96,73.79,132.52,15.6,430.38,111.37,72.43,85.76,66.13,66.11,28.59
东华大学,2016,30.2,301.24,44.64,26.52,96.65,104.49,28.94,339.39,40.65,43.37,55.63,82.34,69.96,47.45
东南大学,2016,56.1,484.66,70.81,113.55,30.39,156.3,113.61,420.25,138.44,49.2,38.2,82.37,104.89,7.15
对外经济贸易大学,2016,16.6,289.51,8.46,98.72,28.05,71.94,82.33,380.71,17.74,103.34,77.52,67.79,38.23,76.08
复旦大学,2016,91.5,367.32,42.43,62.82,83.83,114.88,63.36,430.87,178.67,76.12,17.55,21.01,101.01,36.5
合肥工业大学,2016,28.2,230.08,45.11,54.2,42.96,59.05,28.76,367.81,110.73,36.82,71.21,40.97,91.04,17.04
河海大学,2016,27,257.02,13.49,8.07,79.21,67.97,88.27,347.61,89.48,22.54,24.81,58.69,93.45,58.64
湖南大学,2016,34.6,299.39,51.49,89.02,1.74,124.31,32.82,365.27,92.02,45.5,72.31,3.46,77.17,74.81
华北电力大学,2016,22.6,198.78,66.27,1.6,22.12,42.4,66.39,501.09,72.33,99.5,90.09,65.31,87.53,86.33
华北电力大学(保定),2016,12.5,189.93,12.92,21.78,52.81,24.99,77.43,312.18,25.58,31.89,41.61,94.02,90.48,28.59
华东理工大学,2016,39.8,208.68,11.37,48.58,48.75,85.18,14.8,374.69,62.87,18.27,61.57,81.26,60.96,89.75
华东师范大学,2016,62.2,393.67,97.22,78.18,29.66,121.01,67.6,373.94,62.51,44.83,44.86,17.47,124.88,79.39
华南理工大学,2016,68.4,448.38,57.97,51.6,59.4,176.12,103.3,391.52,84,57.92,95.2,10.26,97.2,46.93
华中科技大学,2016,77.9,490.45,86.93,76.6,60.99,159.3,106.64,336.96,107.09,8.05,35.22,2.71,89.8,94.09
华中农业大学,2016,26.3,304.49,22.48,75.15,40.98,115.42,50.46,299.73,31.81,70.4,27.19,43.37,59.59,67.37
华中师范大学,2016,27,218.72,12.29,49.52,27.02,79.95,49.94,431.22,106.71,29.8,78.79,77.43,76.98,61.49
吉林大学,2016,91,268.68,8.54,34.67,41.04,99.12,85.3,477.52,145.08,76.54,99.72,60.35,52.57,43.27
江南大学,2016,40.1,296.85,30.64,105.04,54.64,100.37,6.16,386.53,50.61,22.83,66.02,82.03,74.3,90.74
兰州大学,2016,38.7,343.68,86.75,20.25,71.9,64.15,100.62,312.58,82.4,33.1,17.18,78.14,64.26,37.49
南京大学,2016,83.6,389.7,27.65,36.04,76.68,130.99,118.34,331.36,70.19,69.03,2.23,71.14,90.12,28.66
